,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,Gross.Salary0
40,0,0,0,0,1,0,0,0.052340676,0,0,0,0,0,0,0,0,0,0,0,2850
41,1,0,0,0,0,0,0,0.318100119,0,0,0,0,0,0,0,0,0,0,0,3486.4
42,0,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3289.73
43,0,0,0,0,0,0,1,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2964.4
44,1,0.931265996,0,0,0,0,0,0.289564649,0,0,0,0,0,0,0,0,0,0,0,3425.4
45,0,0,0,1,0,0,0,0.162806221,0,0,0,0,0,0,0,0,0,0,0,2800
46,1,0,0,0,0,0,0,0.117378545,0,0,0,0,0,0,0,0,0,0,0,3285.4
47,0,0,0,1,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2800
48,1,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3140
49,0,0,0,1,0,0,0,0.097243383,0,0,0,0,0,0,0,0,0,0,0,3328.8
50,0,0,0,1,0,0,0,0.110727745,0,0,0,0,0,0,0,0,0,0,0,2850
51,1,0,0,1,0,0,0,0.124754739,0,0,0,0,0,0,0,0,0,0,0,3396
52,1,0,0,1,0,0,0,0.145372224,0,0,0,0,0,0,1,0,0,0,0,3544.6
53,1,0,1,0,0,0,0,0.153160106,0,0,0,0,0,0,0,0,0,0,0,3425
54,0,0,0,0,0,0,1,0.09262797,0,0,0,0,0,0,0,0,0,0,0,2726
55,0,0,0,0,0,0,0,0.09262797,0,0,0,0,0,0,0,0,0,0,0,2350
56,1,0,0,1,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3310
57,1,0,0,1,0,0,0,0.11205731,0,0,0,0,0,0,1,0,0,0,0,3332.08
58,0,0,0,1,0,0,0,0.06465391,0,0,0,0,0,0,1,0,0,0,0,3006.4
59,1,0,0,0,0,0,0,0.23262492,0,0,0,0,0,0,0,0,0,0,0,3066.12
60,1,1,0,0,0,0,0,0.406291241,0,0,0,0,0,0,0,0,0,0,0,4157.2
61,0,0,0,0,0,0,0,0.101041903,0,0,0,0,0,0,0,0,0,0,0,2550
62,1,0.87838684,0,0,0,0,0,0.172883505,0,0,0,0,0,0,0,0,0,0,0,3494
63,0,0,0,0,1,0,0,0.070865375,0,0,0,0,0,0,0,0,0,0,0,2550
64,1,0,0,0,0,0,0,0.202933979,0,0,0,0,0,0,0,0,0,0,0,3065
65,0,0,0,0,1,0,0,0.044564635,0,0,0,0,0,0,0,0,0,0,0,2600
66,1,0,1,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,1,0,3432.67
67,1,0,1,0,0,0,0,0.105943916,0,0,0,0,0,0,0,0,0,0,0,3279
68,0,0,0,1,0,0,0,0.375689879,0,0,0,0,0,0,1,0,0,0,0,3162.8
69,0,0,1,0,0,1,0,0.228935446,0,0,0,0,0,0,1,0,0,0,0,3200
70,0,0,0,1,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2850
71,0,0,0,1,0,0,0,0.280316229,0,0,0,0,0,0,0,1,0,0,0,2850
72,1,0.854361152,0,0,0,1,0,0.158962039,0,0,0,0,0,0,0,0,0,0,0,3566.59
73,0,0,0,0,0,0,0,0.089448787,0,0,0,0,0,0,0,0,0,0,0,2550
74,0,0,0,0,1,0,0,0.068904286,0,0,0,0,0,0,0,0,0,0,0,2550
75,0,0,0,0,0,0,0,0.406291241,0,0,0,0,0,0,0,0,0,0,0,2863
76,1,0,0,1,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3214
77,0,0,0,0,0,0,1,0.133486522,0,0,0,0,0,0,0,0,0,0,0,2700
78,1,0,0,0,0,0,1,0.171820025,0,0,0,0,0,0,0,0,0,0,0,2941
79,0,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,1,0,2480
80,0,0,0,0,0,0,1,0.075461459,0,0,0,0,0,0,0,0,0,0,0,2600
81,0,0,0,0,0,1,0,0.211310994,0,0,0,0.878310066,0.88904327,0,0,0,0,0,0,2550
82,0,0,0,0,0,0,0,0.072314726,0,0,0,0,0,0,0,0,0,0,0,2600
83,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2850
84,0,0,0,0,0,0,1,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2706.4
85,0,0,0,0,0,0,0,0.375689879,0,0,0,0,0,0,0,0,0,0,0,2961
86,1,0,0,0,0,0,1,0.312737402,0,0,0,0,0,0,0,0,0,0,0,2688
87,0,0,1,0,0,0,0,0.090197464,0,0,0,0,0,0,0,0,0,0,0,3225.36
88,0,0,0,0,0,0,0,0.034638711,0,0,0,0,0,0,0,0,1,0,0,2850
89,0,0,0,0,0,0,0,0.095102903,0,0,0,0,0,0,0,0,0,0,0,2800
90,0,0,0,0,0,0,0,0.137448768,0,0,0,0.845154255,0.889712034,0,0,0,0,0,0,2750
91,1,0,1,0,0,0,0,0.113457532,0,0,0,0,0,0,0,0,0,0,0,3310
92,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,1,0,0,0,0,2745
93,0,0,0,0,1,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,2550
94,1,0,0,0,0,0,0,0.523545922,0,0,0,0,0,0,0,0,0,0,0,2991
95,0,0,0,0,0,0,1,0.209286312,0,0,0,0,0,0,0,0,0,0,0,3152
96,1,0,0,0,0,0,0,0.340760135,0,0,0,0,0,0,0,0,0,0,0,3494
97,0,0,0,0,1,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2550
98,1,0,0,0,1,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,2764
99,0,0,0,0,0,0,1,0.149257151,0,0,0,0,0,0,0,0,0,0,0,2550
100,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2856
101,0,0,0,0,1,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2550
102,0,0,0,0,0,1,0,0.213380512,0,0,0,0,0,0,0,0,0,0,0,2550
103,1,0,0,1,0,0,0,0.119205737,0,0,0,0,0,0,0,0,0,0,0,3188.87
104,1,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,1,0,0,2662.8
105,1,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,1,3240
106,1,1,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3581.4
107,1,0,0,0,0,0,1,0.131892266,0,0,0,0,0,0,0,0,0,0,0,2941
108,0,0,0,1,0,0,0,0.085890899,0,0,0,0,0,0,0,0,0,0,0,2850
109,0,0,0,0,0,0,0,0.128303899,0,0,0,0,0,0,0,0,0,0,0,2550
110,0,0,0,0,0,1,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2350
111,0,0,0,0,0,1,0,0.195318955,0,0,0,0,0,0,0,0,0,0,0,2600
112,0,0,0,0,1,0,0,0.164073749,0,0,0,0,0,0,0,0,0,0,0,2550
113,1,0,0,0,0,0,0,0.124965675,0,0,0,0.861891607,0.891184199,0,0,0,0,0,0,3035
114,0,0,0,1,0,0,0,0.213380512,0,0,0,0,0,0,0,0,0,0,0,2850
115,0,0,1,0,0,1,0,0.206448208,0,0,0,0,0,0,0,0,0,0,0,3034
116,0,0,0,0,0,0,0,0.189384818,0,0,0,0,0,0,0,0,0,0,0,2700
117,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2451
118,0,0,0,0,1,0,0,0.146506206,0,0,0,0,0,0,0,0,0,0,0,2550
119,0,0,0,0,1,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,2800.24
120,1,0,0,0,0,0,1,0.265226582,0,0,0,0,0,0,0,0,0,0,0,2800
121,1,1,0,0,0,0,0,0.406291241,0,0,0,0,0,0,1,0,0,0,0,3398
122,0,0,0,0,0,1,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3006.4
123,0,0,0,0,0,0,1,0.344516381,0,0,0,0,0,0,0,0,0,0,0,2500
124,1,0,0,0,0,0,0,0.156474616,0,0,0,0,0,0,0,0,0,0,0,2914
125,1,0,0,0,0,0,0,0.143156872,0,0,0,0,0,0,0,0,0,0,0,3119.2
126,0,0,0,0,0,0,0,0.09549744,0,0,0,0,0,0,0,0,0,0,0,2850
127,0,0,0,1,0,0,0,0.025877514,0,0,0,0,0,0,0,0,0,0,0,2650
128,0,0,0,0,0,0,0,0.167921385,0,0,0,0,0,0,0,0,0,0,0,2700
129,0,0,0,1,0,0,0,0.213380512,0,0,0,0,0,0,0,0,0,0,0,2850
130,0,0,0,1,0,0,0,0.096876448,0,0,0,0,0,0,0,0,0,0,0,2850
131,1,0,0,1,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3187.82
132,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,3034
133,1,0,0,0,0,1,0,0.095102903,0,0,0,0,0,0,0,0,0,0,0,2714
134,0,0,0,0,0,0,1,0.026081921,0,0,0,0,0,0,0,0,0,0,0,2550
135,1,0,0,0,0,0,1,0.38588776,0,0,0,0,0,0,0,0,0,0,0,3106
136,0,0,0,1,0,0,0,0.095307485,0,0,0,0,0,0,0,0,0,0,0,2850
137,0,0,0,0,0,0,0,0.11127428,0,0,0,0,0,0,0,0,0,0,0,2700
138,1,0.853550391,0,0,0,0,0,0.077732259,0,0,0,0,0,0,0,0,0,0,0,3522.52
139,0,0,0,0,0,0,1,0.056302815,0,0,0,0,0,0,0,0,0,0,0,2550
140,1,0,0,0,0,0,1,0.323585481,0,0,0,0,0,0,0,0,0,0,0,3175.6
141,0,0,0,0,0,0,1,0.09810495,0,0,0,0,0,0,0,0,0,0,0,2600
142,0,0,1,0,0,0,0,0.213380512,0,0,0,0,0,0,0,0,0,0,0,3034
143,1,1,0,0,0,0,0,0.436350857,0,0,0,0,0,0,0,0,0,0,0,3271.33
144,1,0,0,0,0,0,0,0.287934215,0,0,0,0,0,0,0,0,0,0,0,3258.3
145,0,0,0,0,1,0,0,0.101239112,0,0,0,0,0,0,0,0,0,0,0,2550
146,1,0,0,0,0,0,0,0.375689879,0,0,0,0,0,0,0,0,1,0,0,2688
147,0,0.956974689,0,0,0,0,0,0.243695433,0,0,0,0,0,0,1,0,0,0,0,3012.8
148,0,0,0,0,0,0,1,0.23393241,0,0,0,0,0,0,1,0,0,0,0,3000
149,0,0,0,0,0,0,0,0.034836667,0,0,0,0.810643483,0.892121665,0,0,0,0,0,0,2700
150,1,0,0,0,0,0,0,0.225987422,0,0,0,0,0,0,0,0,0,0,0,3241
151,1,0,0,0,0,0,0,0.291824465,0,0,0,0,0,0,0,0,0,0,0,3114.93
152,0,0,0,0,0,0,1,0.213380512,0,0,0,0,0,0,0,0,0,0,0,2550
153,0,0,0,0,1,0,0,0.036509311,0,0,0,0,0,0,0,0,0,0,0,2550
154,1,0,0,0,0,0,1,0.081837441,0,0,0,0,0,0,0,0,0,0,0,2915
155,0,0,0,0,0,0,0,0.053443999,0,0,0,0,0,0,0,0,0,0,0,2700
156,1,0,0,1,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3240
157,0,0,0,0,0,0,0,0.036509311,0,0,0,0,0,0,0,0,0,0,0,2700
158,1,0,0,0,0,0,1,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2915
159,0,0,0,0,0,0,0,0.001481533,0,0,0,0,0,0,0,0,0,0,0,2746
160,0,0,0,1,0,0,0,0.313680881,0,0,0,0,0,0,0,0,0,0,0,3256.64
161,0,0,0,1,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,3006.4
162,0,0,0,0,0,0,1,0.100563006,0,0,0,0,0,0,0,0,0,0,0,2550
163,0,0,0,0,1,0,0,0.128061209,0,0,0,0,0,0,0,0,0,0,0,2863
164,1,0,0,0,0,1,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,2788.9
165,0,0,0,0,0,0,1,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2550
166,1,0,0,0,0,0,0,0.378137693,0,0,0,0,0,0,0,0,0,0,0,3241
167,1,0,0,0,0,0,0,0.375689879,0,0,0,0,0,0,0,0,0,0,0,2991
168,1,0,0,1,0,0,0,0.242027142,0,0,0,0,0,0,0,0,0,0,0,3241
169,0,0,0,0,0,0,0,0.086066414,0,0,0,0,0,0,0,0,0,0,0,3034
170,0,0,0,1,0,0,0,0.153585424,0,0,0,0,0,0,0,0,0,0,0,2850
171,1,0,0,1,0,0,0,0.133046282,0,0,0,0,0,0,0,0,0,0,0,3188.86
172,0,0,0,0,0,0,0,0.09381097,0,0,0,0,0,0,0,0,0,0,0,2700
173,0,0,0,0,0,0,0,0.213380512,0,0,0,0,0,0,0,0,0,0,0,3006
174,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2679
175,0,0,0,1,0,0,0,0.124597077,0,0,0,0,0,0,0,0,0,0,0,2850
176,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,3006
177,0,0,0,0,0,0,0,0.035364621,0,0,0,0,0,0,0,0,0,0,0,2625
178,0,0,0,1,0,0,0,0.00547946,0,0,0,0,0,0,0,0,0,0,0,2850
179,1,1,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3553.4
180,1,0,0,0,0,0,0,0.083282986,0,0,0,0,0,0,0,0,0,0,0,2767
181,1,0,0,0,0,1,0,0.170574928,0,0,0,0,0,0,0,0,0,0,0,2740
182,0,0,0,0,0,1,0,0.260630587,0,0,0,0,0,0,0,0,0,0,0,2402
183,1,0,0,0,0,1,0,0.142740369,0,0,0,0,0,0,0,0,0,0,0,2767
184,1,0,0,0,0,1,0,0.317125867,0,0,0,0,0,0,0,0,0,0,0,2740
185,1,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3385
186,0,0,0,1,0,0,0,0.046387843,0,0,0,0,0,0,0,0,0,0,0,2850
187,0,0,0,0,0,0,0,0.074657693,0,0,0,0,0,0,0,0,0,0,0,2857.8
188,1,0,0,0,0,0,0,0.209658297,0,0,0,0,0,1,0,0,0,0,0,3214
189,1,0,0,0,0,0,0,0.642797248,0,0,0,0,0,0,0,0,0,0,0,2550
190,0,0,0,0,0,0,1,0.053616487,0,0,0,0,0,0,1,0,0,0,0,2400
191,0,0,0,0,0,0,0,0.2212752,0,0,0,0,0,0,0,0,0,0,0,2556.4
192,0,0,0,1,0,0,0,0.086866568,0,0,0,0.792824967,0.893059624,0,0,0,0,0,0,2850
193,0,0,0,0,1,0,0,0.029497046,0,0,0,0,0,0,0,0,0,0,0,2550
194,1,0,0,0,0,1,0,0.231671229,0,0,0,0,0,0,0,0,0,0,0,2715
195,1,0,0,0,0,0,0,0.136609676,0,0,0,0,0,0,0,0,0,0,0,3435
196,0,0.861889658,0,0,0,0,0,0.171747222,0,0,0,0,0,0,0,0,0,0,0,3136.21
197,1,0,1,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,3366.12
198,1,0,1,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3366.12
199,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2746
200,1,0,0,0,1,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3366.12
201,0,0,0,0,0,0,0,0.012070117,0,0,0,0,0,0,0,1,0,0,0,2350
202,1,1,0,0,0,0,0,0.344516381,0,0,0,0.861891607,0.893372386,0,0,0,0,0,0,3619.33
203,1,1,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3527.33
204,0,0,0,0,0,0,0,0.2724329,0,0,0,0,0,0,0,0,0,0,0,2895.5
205,1,0,0,0,0,0,0,0.579420216,0,0,0,0,0,0,0,0,0,0,0,3077.73
206,0,0,0,0,0,0,0,0.129442228,0,0,0,0,0,0,0,0,0,0,0,2550
207,0,0,0,1,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2800
208,0,0,0,0,0,0,0,0.053510449,0,0,0,0,0,0,0,0,0,0,0,2556.4
209,0,0,0,1,0,0,0,0.312737402,0,0,0,0,0,0,1,0,0,0,0,3000
210,0,0,0,1,0,0,0,0.059231257,0,0,0,0,0,0,1,0,0,0,0,2850
211,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2746
212,0,0,0,0,0,0,0,0.068770631,0,0,0,0,0,0,0,0,0,0,0,2650
213,0,0,0,0,0,0,0,0.038795779,0,0,0,0,0,0,0,0,0,0,0,2550
214,1,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,1,0,0,0,0,3300
215,1,0,0,1,0,0,0,0.375689879,0,0,0,0,0,0,1,0,0,0,0,3400
216,1,0,0,0,0,0,0,0.088982412,0,0,0,0,0,1,0,0,0,0,0,3240
217,0,0,0,0,0,0,0,0.044880803,0,0,0,0,0,0,0,0,0,0,0,2550
218,0,0,0,0,0,0,1,0.018872058,0,0,0,0,0,0,0,0,0,0,0,2400
219,0,0,0,1,0,0,0,0.021081075,0,0,0,0,0,0,0,0,0,0,0,3006.4
220,0,0,0,1,0,0,0,0.136520743,0,0,0,0,0,0,0,0,0,0,0,3162.8
221,0,0,0,1,0,0,0,0.144226595,0,0,0,0,0,0,0,0,0,0,0,2850
222,0,0,0,1,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2850
223,0,0,0,1,0,0,0,0.273367971,0,0,0,0,0,0,0,0,0,0,0,3000
224,0,0,0,0,0,0,0,0.111943368,0,0,0,0,0,0,0,0,0,0,0,2556.4
225,0,0,0,0,0,0,0,0.045746977,0,0,0,0,0,0,0,0,0,0,0,2850
226,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,3006
227,0,0,1,0,0,0,0,0.104146344,0,0,0,0,0,0,0,0,0,0,0,3006.4
228,1,0,0,0,0,0,0,0.116330168,0,0,0,0,0,0,0,0,0,0,0,3241
229,1,0.987433523,0,0,0,0,0,0.292572195,0,0,0,0,0,0,0,0,0,0,0,3345.27
230,1,0,0,0,0,0,1,0.083670396,0,0,0,0,0,0,0,0,0,0,0,2765
231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2400
232,1,0,0,0,1,0,0,0.150533901,0,0,0,0,0,0,0,0,0,0,0,2556.4
233,0,0,1,0,0,0,0,0.043178216,0,0,0,0,0,0,0,1,0,0,0,2350
234,0,1,0,0,0,0,0,0.46589652,0,0,0,0,0,0,0,0,0,0,0,2918.04
235,0,1,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,3310
236,1,0,0,0,0,0,1,0.074382479,0,0,0,0,0,0,0,0,0,0,0,2765
237,1,0.959008521,0,0,0,0,0,0.307331049,0,0,0,0,0,0,0,0,0,0,0,3397.4
238,0,0,0,0,0,0,1,0.032462173,0,0,0,0,0,0,0,0,0,0,0,2704.27
239,0,0,0,0,0,0,0,0.150533901,0,0,0,0,0,0,0,0,1,0,0,3053.32
240,0,0,0,0,0,0,0,0.039710916,0,0,0,0,0,0,0,0,1,0,0,3006.4
241,1,0,1,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3366.12
242,1,0,0,1,0,0,0,0.238313651,0,0,0,0,0,0,0,0,0,0,0,3209.72
243,1,0,1,0,0,0,0,0.162760635,0,0,0,0,0,0,0,0,0,0,0,2800
244,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2550
245,1,0.855727515,0,0,0,0,0,0.135096019,0,0,0,0,0,0,0,0,0,0,0,3553.8
246,0,0,0,0,0,0,0,0.201044022,0,0,0,0,0,0,0,0,0,0,0,2850
247,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2550
248,0,0,0,0,0,0,1,0.098535672,0,0,0,0,0,0,0,0,0,0,0,2460
249,0,0,1,0,0,1,0,0.031094974,0,0,0,0,0,0,0,0,0,0,0,3006
250,1,0,0,1,0,0,0,0.174612729,0,0,0,0,0,0,0,0,0,0,0,3188.89
251,0,0,0,1,0,0,0,0.712302733,0,0,0,0,0,0,0,0,0,0,0,3100
252,0,0,0,1,0,0,0,0.025417202,0,0,0,0,0,0,0,0,0,0,0,2928.2
253,1,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3114.93
254,1,0.86859026,0,0,0,0,0,0.260137797,0,0,0,0,0,0,0,0,0,0,0,3866
255,0,0,0,0,0,0,0,0.131134421,0,0,0,0,0,0,0,0,0,0,0,2400
256,0,0,0,0,1,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2470
257,0,0,0,0,0,0,1,0.13348382,0,0,0,0,0,0,0,0,0,0,0,2490
258,0,0,0,1,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2850
259,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2625
260,0,0,0,1,0,0,0,0.07539787,0,0,0,0,0,0,0,0,0,0,0,2956
261,0,0,0,0,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2750
262,1,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3241
263,0,0,0,1,0,0,0,0.354311472,0,0,0,0,0,0,0,0,0,0,0,3006.4
264,0,0,0,0,0,0,1,0.213380512,0,0,0,0,0,0,0,0,0,0,0,2556.4
265,1,0,0,0,0,0,0,0.375689879,0,0,0,0,0,0,0,0,0,0,0,3650
266,0,0,0,1,0,0,0,0.046807322,0,0,0,0,0,0,0,0,0,0,0,2850
267,0,0,0,0,0,0,0,0.029270945,0,0,0,0,0,0,0,0,1,0,0,2400
268,0,0.913791564,0,0,0,0,0,0.174400223,0,0,0,0,0,0,0,0,0,0,0,3017.97
269,0,0,0,0,0,0,0,0.075461459,0,0,0,0,0,0,0,0,0,0,0,2746
270,1,0,0,1,0,0,0,0.375689879,0,0,0,0,0,0,0,0,0,0,0,3463.33
271,1,0.969482844,0,0,0,0,0,0.354465894,0,0,0,0,0,0,1,0,0,0,0,3527.73
272,0,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,1,0,0,2700
273,0,0,0,1,0,0,0,0.171547867,0,0,0,0,0,0,1,0,0,0,0,2850
274,0,0,0,1,0,0,0,0.116337108,0,0,0,0,0,0,0,0,0,0,0,3162.8
275,1,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,1,0,0,0,3355.96
276,0,0,0,0,0,0,1,0.191576648,0,0,0,0,0,0,0,0,0,0,0,2556.4
277,0,0,0,1,0,0,0,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2850
278,0,0,0,0,0,0,1,0.098070835,0,0,0,0,0,0,0,0,0,0,0,2750
279,1,0,0,0,0,0,1,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2714
280,1,0,0,0,0,0,0,0.312737402,0,0,0,0,0,1,0,0,0,0,0,3241
281,0,0,0,0,0,0,0,0.06543137,0,0,0,0,0,0,0,0,0,0,0,2400
282,0,0,0,0,0,0,1,0.247212281,0,0,0,0,0,0,0,0,0,0,0,2646
283,0,0,0,0,0,0,0,0.090306396,0,0,0,0,0,0,0,0,0,0,0,2400
284,0,0,0,0,1,0,0,0.147839203,0,0,0,0,0,0,0,0,0,0,0,2400
285,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2750
286,0,0,0,0,0,0,0,0.174210802,0,0,0,0,0,0,0,0,0,0,0,2750
287,0,0,0,0,0,0,0,0.375689879,0,0,0,0,0,0,0,0,0,0,0,2800
288,0,0,0,0,0,0,0,0.072448556,0,0,0,0,0,0,0,0,0,0,0,2746
